Name,CNIC,ADDRESS,DOB,Province,Contact,Status,City
HAMZA,3530000000000,"House # 197 St #3 Buldia Colony, Sahiwal",01/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000001,"House # 197 St #3 Buldia Colony, Sahiwal",02/01/1997,PUNJAB,923047877535,Alive,Lahore
ALI,3530000000002,"House # 197 St #3 Buldia Colony, Sahiwal",03/01/1997,PUNJAB,923047877535,Alive,Lahore
ALI,3530000000003,"House # 197 St #3 Buldia Colony, Sahiwal",04/01/1997,PUNJAB,923047877535,Alive,Lahore
ABDULLAH kHAN,3530000000004,"House # 197 St #3 Buldia Colony, Sahiwal",05/01/1997,PUNJAB,923047877535,Alive,Lahore
ABDULLAH kHAN,3530000000005,"House # 217 St #5 Buldia Colony, Havali",06/01/1997,PUNJAB,923047877535,Alive,Lahore
ABDULLAH kHAN,3530000000006,"House # 217 St #5 Buldia Colony, Havali",07/01/1997,PUNJAB,923047877535,Alive,Lahore
ABDULLAH kHAN,3530000000007,"House # 217 St #5 Buldia Colony, Havali",08/01/1997,PUNJAB,923047877535,Alive,Lahore
ABDULLAH kHAN,3530000000008,"House # 217 St #5 Buldia Colony, Havali",09/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000009,"House # 217 St #5 Buldia Colony, Havali",10/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000010,"House # 217 St #5 Buldia Colony, Havali",11/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000011,"House # 197 St #3 Buldia Colony, Sahiwal",12/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000012,"House # 197 St #3 Buldia Colony, Sahiwal",13/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000013,"House # 197 St #3 Buldia Colony, Sahiwal",14/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000014,"House # 197 St #3 Buldia Colony, Sahiwal",15/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000015,"House # 197 St #3 Buldia Colony, Sahiwal",16/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000016,"House # 217 St #5 Buldia Colony, Havali",17/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000017,"House # 217 St #5 Buldia Colony, Havali",18/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000018,"House # 217 St #5 Buldia Colony, Havali",19/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000019,"House # 217 St #5 Buldia Colony, Havali",20/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000020,"House # 217 St #5 Buldia Colony, Havali",21/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000021,"House # 217 St #5 Buldia Colony, Havali",22/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000022,"House # 197 St #3 Buldia Colony, Sahiwal",23/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000023,"House # 197 St #3 Buldia Colony, Sahiwal",24/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000024,"House # 197 St #3 Buldia Colony, Sahiwal",25/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000025,"House # 197 St #3 Buldia Colony, Sahiwal",26/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000026,"House # 197 St #3 Buldia Colony, Sahiwal",27/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000027,"House # 217 St #5 Buldia Colony, Havali",28/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000028,"House # 217 St #5 Buldia Colony, Havali",29/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000029,"House # 217 St #5 Buldia Colony, Havali",30/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000030,"House # 217 St #5 Buldia Colony, Havali",31/01/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000031,"House # 217 St #5 Buldia Colony, Havali",01/02/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000032,"House # 217 St #5 Buldia Colony, Havali",02/02/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000033,"House # 197 St #3 Buldia Colony, Sahiwal",03/02/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000034,"House # 197 St #3 Buldia Colony, Sahiwal",04/02/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000035,"House # 197 St #3 Buldia Colony, Sahiwal",05/02/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000036,"House # 197 St #3 Buldia Colony, Sahiwal",06/02/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000037,"House # 197 St #3 Buldia Colony, Sahiwal",07/02/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000038,"House # 217 St #5 Buldia Colony, Havali",08/02/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000039,"House # 217 St #5 Buldia Colony, Havali",09/02/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000040,"House # 217 St #5 Buldia Colony, Havali",10/02/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000041,"House # 217 St #5 Buldia Colony, Havali",11/02/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000042,"House # 217 St #5 Buldia Colony, Havali",12/02/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000043,"House # 217 St #5 Buldia Colony, Havali",13/02/1997,PUNJAB,923047877535,Alive,Lahore
HAMZA,3530000000044,"House # 197 St #3 Buldia Colony, Sahiwal",14/02/1997,PUNJAB,923047877535,Alive,Lahore
